category,rank,image_name,recoverable_pixels,figure
type_b_cam28_1,6,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500+16,5215,figures/qualitative/type_b_cam28_1_06_TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500+16.png
type_c_cam28_2_or_deep,1,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+83,21092,figures/qualitative/type_c_cam28_2_or_deep_01_TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+83.png
type_c_cam28_2_or_deep,2,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+106,17343,figures/qualitative/type_c_cam28_2_or_deep_02_TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+106.png
type_c_cam28_2_or_deep,3,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+116,16417,figures/qualitative/type_c_cam28_2_or_deep_03_TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+116.png
type_c_cam28_2_or_deep,4,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+34,16042,figures/qualitative/type_c_cam28_2_or_deep_04_TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+34.png
type_c_cam28_2_or_deep,5,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+72,14382,figures/qualitative/type_c_cam28_2_or_deep_05_TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+72.png
type_c_cam28_2_or_deep,6,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+75,14007,figures/qualitative/type_c_cam28_2_or_deep_06_TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+75.png
type_d_all_wrong,1,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+27,50176,figures/qualitative/type_d_all_wrong_01_TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+27.png
type_d_all_wrong,2,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+155,50176,figures/qualitative/type_d_all_wrong_02_TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+155.png
type_d_all_wrong,3,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+4,50176,figures/qualitative/type_d_all_wrong_03_TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+4.png
type_d_all_wrong,4,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+301,50176,figures/qualitative/type_d_all_wrong_04_TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+301.png
type_d_all_wrong,5,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+156,50176,figures/qualitative/type_d_all_wrong_05_TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+156.png
type_d_all_wrong,6,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+51,50176,figures/qualitative/type_d_all_wrong_06_TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+51.png
