category,rank,index,image_name,absolute_true_utility,router_choice,safe_oracle_choice,figure
type_b_harmful_override,8,511,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+50,0.2768654227256775,cam56,official_fusion,figures/qualitative/type_b_harmful_override_08_TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+50.png
type_c_missed_opportunity,1,3307,TCGA-OL-A5D6-DX1_xmin115108_ymin40554_MPP-0.2500+17,0.3283265233039856,official_fusion,cam56,figures/qualitative/type_c_missed_opportunity_01_TCGA-OL-A5D6-DX1_xmin115108_ymin40554_MPP-0.2500+17.png
type_c_missed_opportunity,2,3390,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+90,0.23703813552856445,official_fusion,cam28_2,figures/qualitative/type_c_missed_opportunity_02_TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+90.png
type_c_missed_opportunity,3,2499,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+16,0.235937237739563,official_fusion,cam56,figures/qualitative/type_c_missed_opportunity_03_TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+16.png
type_c_missed_opportunity,4,2732,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+25,0.2233445942401886,official_fusion,camdeep,figures/qualitative/type_c_missed_opportunity_04_TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+25.png
type_c_missed_opportunity,5,2306,TCGA-OL-A6VO-DX1_xmin88416_ymin188485_MPP-0.2500+1,0.20685264468193054,official_fusion,cam56,figures/qualitative/type_c_missed_opportunity_05_TCGA-OL-A6VO-DX1_xmin88416_ymin188485_MPP-0.2500+1.png
type_c_missed_opportunity,6,2629,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+25,0.20394697785377502,official_fusion,cam28_1,figures/qualitative/type_c_missed_opportunity_06_TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+25.png
type_c_missed_opportunity,7,1149,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+146,0.20259106159210205,official_fusion,cam28_2,figures/qualitative/type_c_missed_opportunity_07_TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+146.png
type_c_missed_opportunity,8,2683,TCGA-LL-A73Y-DX1_xmin68117_ymin49445_MPP-0.2500+16,0.1918928027153015,official_fusion,cam28_2,figures/qualitative/type_c_missed_opportunity_08_TCGA-LL-A73Y-DX1_xmin68117_ymin49445_MPP-0.2500+16.png
type_d_correct_fallback,1,3110,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+72,0.0742984414100647,official_fusion,official_fusion,figures/qualitative/type_d_correct_fallback_01_TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+72.png
type_d_correct_fallback,2,992,TCGA-S3-AA15-DX1_xmin55486_ymin28926_MPP-0.2500+11,0.06018650531768799,official_fusion,official_fusion,figures/qualitative/type_d_correct_fallback_02_TCGA-S3-AA15-DX1_xmin55486_ymin28926_MPP-0.2500+11.png
type_d_correct_fallback,3,1678,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+32,0.04209178686141968,official_fusion,official_fusion,figures/qualitative/type_d_correct_fallback_03_TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+32.png
type_d_correct_fallback,4,1066,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+129,0.030342459678649902,official_fusion,official_fusion,figures/qualitative/type_d_correct_fallback_04_TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+129.png
type_d_correct_fallback,5,2320,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+169,0.030191659927368164,official_fusion,official_fusion,figures/qualitative/type_d_correct_fallback_05_TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+169.png
type_d_correct_fallback,6,1899,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+4,0.02730262279510498,official_fusion,official_fusion,figures/qualitative/type_d_correct_fallback_06_TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+4.png
type_d_correct_fallback,7,2413,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+30,0.027088642120361328,official_fusion,official_fusion,figures/qualitative/type_d_correct_fallback_07_TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+30.png
type_d_correct_fallback,8,448,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+33,0.02437591552734375,official_fusion,official_fusion,figures/qualitative/type_d_correct_fallback_08_TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+33.png
