image_index,image_id
78,TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+90
79,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+96
80,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+24
81,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+147
82,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+175
83,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+499
84,TCGA-S3-AA15-DX1_xmin55486_ymin28926_MPP-0.2500+53
85,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+43
86,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+122
87,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+425
88,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+127
89,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+59
90,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+105
91,TCGA-S3-AA15-DX1_xmin55486_ymin28926_MPP-0.2500+57
92,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+155
93,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+252
94,TCGA-OL-A6VO-DX1_xmin88416_ymin188485_MPP-0.2500+22
95,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+181
96,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+65
97,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+4
98,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+44
99,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+182
100,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+65
101,TCGA-LL-A73Y-DX1_xmin68117_ymin49445_MPP-0.2500+45
102,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+50
103,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+7
104,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+6
105,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+187
106,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+169
107,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+161
108,TCGA-GM-A2DI-DX1_xmin22802_ymin51060_MPP-0.2500+2
109,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+3
110,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500+83
111,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+81
112,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+89
113,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+37
114,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+206
115,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+249
116,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+40
117,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+25
118,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+52
119,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113
120,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+293
121,TCGA-OL-A66I-DX1_xmin38433_ymin22957_MPP-0.2500+21
122,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+86
123,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+48
124,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+103
125,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+113
126,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+148
127,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+334
128,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+1
129,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+443
130,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+171
131,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+3
132,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+75
133,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+72
134,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+38
135,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+155
136,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+4
137,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+243
138,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+170
139,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+23
140,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+364
141,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+11
142,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+5
143,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+21
144,TCGA-OL-A5D6-DX1_xmin115108_ymin40554_MPP-0.2500+61
145,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+542
146,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+208
147,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+87
148,TCGA-OL-A5D6-DX1_xmin115108_ymin40554_MPP-0.2500+50
149,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+103
150,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+43
151,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+124
152,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+430
153,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+541
154,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+163
155,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+48
156,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+102
157,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+66
158,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+35
159,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+114
160,TCGA-OL-A6VO-DX1_xmin88416_ymin188485_MPP-0.2500+46
161,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+151
162,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+157
163,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+131
164,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+121
165,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+353
166,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+34
167,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+66
168,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+53
169,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+322
170,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+282
171,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+159
172,TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+17
173,TCGA-OL-A5RW-DX1_xmin5772_ymin6839_MPP-0.2500+1
174,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+9
175,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+139
176,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+165
177,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+28
178,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+39
179,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+106
180,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+152
181,TCGA-GM-A2DI-DX1_xmin22802_ymin51060_MPP-0.2500+15
182,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+52
183,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+221
184,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+111
185,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+134
186,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+68
187,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+3
188,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+94
189,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+155
190,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500+82
191,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+234
192,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+53
193,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+84
194,TCGA-OL-A66I-DX1_xmin38433_ymin22957_MPP-0.2500+34
195,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+331
196,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+199
197,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+41
198,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+119
199,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+76
200,TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+20
201,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+105
202,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+90
203,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+36
204,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+138
205,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+39
206,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+143
207,TCGA-OL-A6VO-DX1_xmin88416_ymin188485_MPP-0.2500+51
208,TCGA-OL-A66I-DX1_xmin38433_ymin22957_MPP-0.2500+18
209,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+190
210,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+140
211,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+515
212,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+51
213,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+235
214,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+21
215,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+382
216,TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+48
217,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+136
218,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+235
219,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+112
220,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+25
221,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+266
222,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+278
223,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+81
224,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+43
225,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+301
226,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+26
227,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+156
228,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+145
229,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+145
230,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+2
231,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+172
232,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+458
233,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+24
234,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+98
235,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+68
236,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+97
237,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+152
238,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+87
239,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+426
240,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+21
241,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500+50
242,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+169
243,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+117
244,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+163
245,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+51
246,TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+83
247,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+450
248,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+54
249,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+45
250,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+116
251,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+149
252,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+12
253,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+21
254,TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+43
255,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+336
256,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+237
257,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+153
258,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+42
259,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+61
260,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+73
261,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+130
262,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+62
263,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+0
264,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+159
265,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+73
266,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+113
267,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+360
268,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+49
269,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+257
270,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+31
271,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+155
272,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+206
273,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+135
274,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+63
275,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+204
276,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+200
277,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+185
278,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+65
279,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+131
280,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+45
281,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+192
282,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+43
283,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+119
284,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+74
285,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+14
286,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+144
287,TCGA-OL-A5D6-DX1_xmin115108_ymin40554_MPP-0.2500+58
288,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+63
289,TCGA-GM-A2DI-DX1_xmin22802_ymin51060_MPP-0.2500+18
290,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+240
291,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+10
292,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+65
293,TCGA-OL-A6VO-DX1_xmin88416_ymin188485_MPP-0.2500+33
294,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+0
295,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500+94
296,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+98
297,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+149
298,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+375
299,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+149
300,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+116
301,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+80
302,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+128
303,TCGA-OL-A5D6-DX1_xmin115108_ymin40554_MPP-0.2500+37
304,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500+40
305,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+261
306,TCGA-OL-A6VO-DX1_xmin88416_ymin188485_MPP-0.2500+15
307,TCGA-S3-AA10-DX1_xmin43039_ymin23986_MPP-0.2500+8
308,TCGA-GM-A3XL-DX1_xmin29910_ymin15820_MPP-0.2500+233
309,TCGA-HN-A2NL-DX1_xmin11931_ymin5764_MPP-0.2500+21
310,TCGA-OL-A5D6-DX1_xmin115108_ymin40554_MPP-0.2500+33
311,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+16
312,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+96
313,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+325
314,TCGA-LL-A5YO-DX1_xmin36631_ymin44396_MPP-0.2500+31
315,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+396
316,TCGA-LL-A73Y-DX1_xmin68117_ymin49445_MPP-0.2500+30
317,TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+92
318,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+56
319,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+113
320,TCGA-LL-A441-DX1_xmin82006_ymin43121_MPP-0.2500+54
321,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+58
322,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+142
323,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+227
324,TCGA-LL-A740-DX1_xmin39436_ymin24080_MPP-0.2500+53
325,TCGA-OL-A5D7-DX1_xmin114443_ymin22490_MPP-0.2500+76
326,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+487
327,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+207
328,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+52
329,TCGA-GM-A2DB-DX1_xmin50586_ymin43110_MPP-0.2500+371
330,TCGA-OL-A66P-DX1_xmin30143_ymin20310_MPP-0.2500+214
331,TCGA-GM-A2DD-DX1_xmin47260_ymin22408_MPP-0.2500+373
332,TCGA-GM-A2DH-DX1_xmin50963_ymin56303_MPP-0.2500+71
333,TCGA-GM-A2DF-DX1_xmin50637_ymin43774_MPP-0.2500+146
334,TCGA-OL-A97C-DX1_xmin68058_ymin32495_MPP-0.2500+28
