token_index,region_id,image_id,slide_id,fold
38,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,TCGA-EW-A1PB-DX1,3
40,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,TCGA-EW-A1PB-DX1,3
41,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,TCGA-EW-A1PB-DX1,3
42,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11:2:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,TCGA-EW-A1PB-DX1,3
43,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,TCGA-EW-A1PB-DX1,3
44,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110:0:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,TCGA-EW-A1PB-DX1,3
46,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,TCGA-EW-A1PB-DX1,3
48,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111:1:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,TCGA-EW-A1PB-DX1,3
50,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111:2:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,TCGA-EW-A1PB-DX1,3
51,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111:2:3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,TCGA-EW-A1PB-DX1,3
54,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,TCGA-EW-A1PB-DX1,3
55,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113,TCGA-EW-A1PB-DX1,3
56,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114,TCGA-EW-A1PB-DX1,3
57,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+115:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+115,TCGA-EW-A1PB-DX1,3
58,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116,TCGA-EW-A1PB-DX1,3
62,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117:1:4,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,TCGA-EW-A1PB-DX1,3
64,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117:2:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,TCGA-EW-A1PB-DX1,3
67,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118:1:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118,TCGA-EW-A1PB-DX1,3
68,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118,TCGA-EW-A1PB-DX1,3
69,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118:2:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118,TCGA-EW-A1PB-DX1,3
72,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119,TCGA-EW-A1PB-DX1,3
73,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119:2:3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119,TCGA-EW-A1PB-DX1,3
74,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119:2:4,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119,TCGA-EW-A1PB-DX1,3
76,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+12:1:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+12,TCGA-EW-A1PB-DX1,3
79,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+120:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+120,TCGA-EW-A1PB-DX1,3
90,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+121:1:3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+121,TCGA-EW-A1PB-DX1,3
95,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+123:1:3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+123,TCGA-EW-A1PB-DX1,3
96,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+123:1:4,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+123,TCGA-EW-A1PB-DX1,3
103,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+126:1:3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+126,TCGA-EW-A1PB-DX1,3
104,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+126:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+126,TCGA-EW-A1PB-DX1,3
105,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+127:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+127,TCGA-EW-A1PB-DX1,3
109,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+128:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+128,TCGA-EW-A1PB-DX1,3
112,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+129:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+129,TCGA-EW-A1PB-DX1,3
113,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+129:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+129,TCGA-EW-A1PB-DX1,3
115,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+13:1:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+13,TCGA-EW-A1PB-DX1,3
117,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+13:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+13,TCGA-EW-A1PB-DX1,3
118,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+130:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+130,TCGA-EW-A1PB-DX1,3
119,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+130:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+130,TCGA-EW-A1PB-DX1,3
120,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+131:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+131,TCGA-EW-A1PB-DX1,3
122,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+131:1:3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+131,TCGA-EW-A1PB-DX1,3
123,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+131:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+131,TCGA-EW-A1PB-DX1,3
124,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+131:2:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+131,TCGA-EW-A1PB-DX1,3
125,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+132:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+132,TCGA-EW-A1PB-DX1,3
131,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+132:1:7,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+132,TCGA-EW-A1PB-DX1,3
134,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+132:1:10,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+132,TCGA-EW-A1PB-DX1,3
138,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+133:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+133,TCGA-EW-A1PB-DX1,3
141,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+135:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+135,TCGA-EW-A1PB-DX1,3
154,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+14:1:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+14,TCGA-EW-A1PB-DX1,3
155,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+14:2:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+14,TCGA-EW-A1PB-DX1,3
160,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+141:0:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+141,TCGA-EW-A1PB-DX1,3
161,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+141:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+141,TCGA-EW-A1PB-DX1,3
162,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+141:1:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+141,TCGA-EW-A1PB-DX1,3
166,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+143:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+143,TCGA-EW-A1PB-DX1,3
180,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+146:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+146,TCGA-EW-A1PB-DX1,3
181,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+147:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+147,TCGA-EW-A1PB-DX1,3
184,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+148:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+148,TCGA-EW-A1PB-DX1,3
185,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+148:2:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+148,TCGA-EW-A1PB-DX1,3
187,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+149:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+149,TCGA-EW-A1PB-DX1,3
191,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+149:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+149,TCGA-EW-A1PB-DX1,3
193,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+149:2:3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+149,TCGA-EW-A1PB-DX1,3
196,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+150:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+150,TCGA-EW-A1PB-DX1,3
197,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+150:2:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+150,TCGA-EW-A1PB-DX1,3
199,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+150:2:4,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+150,TCGA-EW-A1PB-DX1,3
201,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+151:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+151,TCGA-EW-A1PB-DX1,3
202,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+151:2:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+151,TCGA-EW-A1PB-DX1,3
204,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+151:2:4,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+151,TCGA-EW-A1PB-DX1,3
208,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+154:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+154,TCGA-EW-A1PB-DX1,3
209,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+154:1:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+154,TCGA-EW-A1PB-DX1,3
210,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+154:1:3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+154,TCGA-EW-A1PB-DX1,3
211,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+155:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+155,TCGA-EW-A1PB-DX1,3
215,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+156:1:4,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+156,TCGA-EW-A1PB-DX1,3
216,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+156:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+156,TCGA-EW-A1PB-DX1,3
217,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+156:2:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+156,TCGA-EW-A1PB-DX1,3
221,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+156:2:6,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+156,TCGA-EW-A1PB-DX1,3
225,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+157:1:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+157,TCGA-EW-A1PB-DX1,3
231,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+158:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+158,TCGA-EW-A1PB-DX1,3
233,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+158:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+158,TCGA-EW-A1PB-DX1,3
234,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+158:2:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+158,TCGA-EW-A1PB-DX1,3
235,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+158:2:5,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+158,TCGA-EW-A1PB-DX1,3
239,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+159:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+159,TCGA-EW-A1PB-DX1,3
240,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+159:2:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+159,TCGA-EW-A1PB-DX1,3
243,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+160:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+160,TCGA-EW-A1PB-DX1,3
244,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+160:2:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+160,TCGA-EW-A1PB-DX1,3
245,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+160:2:4,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+160,TCGA-EW-A1PB-DX1,3
247,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+161:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+161,TCGA-EW-A1PB-DX1,3
248,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+162:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+162,TCGA-EW-A1PB-DX1,3
251,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+162:1:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+162,TCGA-EW-A1PB-DX1,3
252,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+163:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+163,TCGA-EW-A1PB-DX1,3
255,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+164:2:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+164,TCGA-EW-A1PB-DX1,3
257,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+165:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+165,TCGA-EW-A1PB-DX1,3
259,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+167:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+167,TCGA-EW-A1PB-DX1,3
263,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+170:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+170,TCGA-EW-A1PB-DX1,3
268,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+173:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+173,TCGA-EW-A1PB-DX1,3
269,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+174:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+174,TCGA-EW-A1PB-DX1,3
271,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+176:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+176,TCGA-EW-A1PB-DX1,3
272,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+176:0:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+176,TCGA-EW-A1PB-DX1,3
273,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+176:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+176,TCGA-EW-A1PB-DX1,3
274,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+177:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+177,TCGA-EW-A1PB-DX1,3
275,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+177:0:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+177,TCGA-EW-A1PB-DX1,3
276,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+177:0:3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+177,TCGA-EW-A1PB-DX1,3
277,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+177:0:4,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+177,TCGA-EW-A1PB-DX1,3
280,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+178:0:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+178,TCGA-EW-A1PB-DX1,3
281,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+178:0:3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+178,TCGA-EW-A1PB-DX1,3
282,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+178:0:4,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+178,TCGA-EW-A1PB-DX1,3
284,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+178:1:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+178,TCGA-EW-A1PB-DX1,3
286,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+179:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+179,TCGA-EW-A1PB-DX1,3
288,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+18:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+18,TCGA-EW-A1PB-DX1,3
289,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+18:0:2,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+18,TCGA-EW-A1PB-DX1,3
291,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+180:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+180,TCGA-EW-A1PB-DX1,3
295,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+180:1:3,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+180,TCGA-EW-A1PB-DX1,3
296,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+181:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+181,TCGA-EW-A1PB-DX1,3
297,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+181:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+181,TCGA-EW-A1PB-DX1,3
298,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+182:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+182,TCGA-EW-A1PB-DX1,3
304,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+19:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+19,TCGA-EW-A1PB-DX1,3
305,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+2:1:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+2,TCGA-EW-A1PB-DX1,3
308,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+20:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+20,TCGA-EW-A1PB-DX1,3
309,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+21:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+21,TCGA-EW-A1PB-DX1,3
310,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+22:0:1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+22,TCGA-EW-A1PB-DX1,3
