token_index,image_index,image_id,slide_id,region_id,component_id,base_predicted_class,gt_majority_class,purity,taxonomy,region_area,core_area,rim_area,empty_core,empty_rim,common_support,whole_dispersion,core_dispersion,rim_dispersion,core_rim_discrepancy,gt_pixels_0,gt_pixels_1,gt_pixels_2,gt_pixels_3,gt_pixels_4
10,4,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101:1:1,1,1,1,0.5838264299802761,Mixed,507,317,190,False,False,True,0.09188627451658249,0.062305282801389694,0.13086946308612823,0.021246016025543213,0,296,174,0,37
11,4,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101:2:1,1,2,2,0.9948453608247423,Type-A,194,124,70,False,False,True,0.04976555332541466,0.027961166575551033,0.07624287158250809,0.017644524574279785,0,1,193,0,0
12,4,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101:2:2,2,2,2,0.9875,Type-A,80,44,36,False,False,True,0.056557077914476395,0.04183420166373253,0.06660875678062439,0.015317201614379883,0,1,79,0,0
13,4,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+101:2:3,3,2,2,1.0,Type-A,3,0,3,True,False,False,0.0072002410888671875,,0.0072002410888671875,,0,0,3,0,0
14,5,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102:1:1,1,1,2,0.5633802816901409,Mixed,568,380,188,False,False,True,0.0974784791469574,0.06961055099964142,0.14204253256320953,0.02163606882095337,0,248,320,0,0
15,5,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102:1:2,2,1,1,0.6521739130434783,Mixed,23,6,17,False,False,True,0.034746281802654266,0.01734902523458004,0.03722106292843819,0.01461714506149292,0,15,8,0,0
16,5,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102:2:1,1,2,2,0.9647058823529412,Type-A,170,86,84,False,False,True,0.04782705381512642,0.032390546053647995,0.06044325232505798,0.007104396820068359,0,6,164,0,0
17,5,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102:2:2,2,2,2,1.0,Type-A,6,1,5,False,False,True,0.03230305388569832,0.0,0.03389228507876396,0.029609084129333496,0,0,6,0,0
18,5,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+102:2:4,4,2,2,1.0,Type-A,16,4,12,False,False,True,0.05846155062317848,0.032017260789871216,0.06201697513461113,0.021548688411712646,0,0,16,0,0
19,6,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+103:1:1,1,1,1,0.5727040816326531,Mixed,784,588,196,False,False,True,0.1469193696975708,0.10659688711166382,0.20971941947937012,0.09891009330749512,0,449,335,0,0
20,7,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104:0:1,1,0,1,1.0,Type-B,3,0,3,True,False,False,0.030554791912436485,,0.030554791912436485,,0,3,0,0,0
21,7,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104:0:2,2,0,2,1.0,Type-B,2,0,2,True,False,False,0.031222671270370483,,0.031222671270370483,,0,0,2,0,0
22,7,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104:0:3,3,0,2,1.0,Type-B,12,0,12,True,False,False,0.07874339818954468,,0.07874339818954468,,0,0,12,0,0
23,7,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104:0:5,5,0,2,1.0,Type-B,7,0,7,True,False,False,0.047999270260334015,,0.047999270260334015,,0,0,7,0,0
24,7,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104:0:6,6,0,2,1.0,Type-B,28,2,26,False,False,True,0.09273898601531982,0.010401010513305664,0.09516230970621109,0.05953305959701538,0,0,28,0,0
25,7,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104:1:1,1,1,1,0.5441988950276243,Mixed,724,500,224,False,False,True,0.11684611439704895,0.08825825154781342,0.1581614762544632,0.0387420654296875,0,394,330,0,0
26,7,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104:1:2,2,1,2,1.0,Type-B,4,0,4,True,False,False,0.062075331807136536,,0.062075331807136536,,0,0,4,0,0
27,7,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+104:1:3,3,1,2,1.0,Type-B,3,0,3,True,False,False,0.025881251320242882,,0.025881251320242882,,0,0,3,0,0
28,8,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105:0:1,1,0,0,0.5,Mixed,6,0,6,True,False,False,0.07129698991775513,,0.07129698991775513,,3,2,1,0,0
29,8,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105:0:2,2,0,1,1.0,Type-B,16,1,15,False,False,True,0.05647263303399086,5.960464477539063e-08,0.05728713050484657,0.04461777210235596,0,16,0,0,0
30,8,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105:1:1,1,1,1,0.9223684210526316,Type-A,760,561,199,False,False,True,0.11907661706209183,0.09571775794029236,0.16612450778484344,0.0311545729637146,7,701,52,0,0
31,8,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+105:1:2,2,1,1,1.0,Type-A,2,0,2,True,False,False,0.017835795879364014,,0.017835795879364014,,0,2,0,0,0
32,9,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106:0:1,1,0,0,1.0,Type-A,3,0,3,True,False,False,0.02374851703643799,,0.02374851703643799,,3,0,0,0,0
33,9,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106:0:2,2,0,0,0.65,Mixed,40,4,36,False,False,True,0.07128919661045074,0.034261658787727356,0.07321479916572571,0.025456726551055908,26,14,0,0,0
34,9,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+106:1:1,1,1,1,0.796221322537112,Mixed,741,548,193,False,False,True,0.1343183070421219,0.09702631831169128,0.16668088734149933,0.11908912658691406,124,590,27,0,0
35,10,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107:0:1,1,0,0,0.7592592592592593,Mixed,540,386,154,False,False,True,0.09661471098661423,0.07523985952138901,0.13243313133716583,0.029872775077819824,410,130,0,0,0
36,10,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+107:1:1,1,1,1,0.860655737704918,Type-A,244,156,88,False,False,True,0.11674609780311584,0.09104175120592117,0.14495231211185455,0.03175199031829834,34,210,0,0,0
37,11,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+108:0:1,1,0,0,0.9336734693877551,Type-A,784,588,196,False,False,True,0.09490836411714554,0.06031277775764465,0.1532493531703949,0.07094353437423706,732,52,0,0,0
38,12,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109:0:1,1,0,0,0.8608870967741935,Type-A,496,361,135,False,False,True,0.06119862571358681,0.03870208188891411,0.09877137839794159,0.033003926277160645,427,69,0,0,0
39,12,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+109:1:1,1,1,1,0.4912891986062718,Mixed,287,200,87,False,False,True,0.11164184659719467,0.08322089165449142,0.1422223299741745,0.05494016408920288,117,141,0,0,29
40,13,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11:1:1,1,1,1,0.8801498127340824,Type-A,534,392,142,False,False,True,0.04917732998728752,0.02899792231619358,0.08760319650173187,0.024539530277252197,0,470,52,0,12
41,13,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11:2:1,1,2,2,1.0,Type-A,21,9,12,False,False,True,0.029575146734714508,0.019739456474781036,0.03069993294775486,0.016022682189941406,0,0,21,0,0
42,13,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+11:2:2,2,2,2,0.9912663755458515,Type-A,229,149,80,False,False,True,0.05232759192585945,0.033346615731716156,0.07035399973392487,0.02852386236190796,0,2,227,0,0
43,14,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110:0:1,1,0,0,0.8947368421052632,Type-A,38,4,34,False,False,True,0.09231057018041611,0.03512957692146301,0.09132689237594604,0.077828049659729,34,4,0,0,0
44,14,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110:0:2,2,0,0,0.8452380952380952,Type-A,252,169,83,False,False,True,0.07709857076406479,0.0474994033575058,0.09377201646566391,0.07150357961654663,213,39,0,0,0
45,14,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110:0:3,3,0,0,1.0,Type-A,2,0,2,True,False,False,0.023970961570739746,,0.023970961570739746,,2,0,0,0,0
46,14,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+110:1:1,1,1,0,0.8577235772357723,Type-B,492,312,180,False,False,True,0.11377047747373581,0.08371582627296448,0.13366587460041046,0.06162995100021362,422,70,0,0,0
47,15,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111:1:1,1,1,2,0.7534246575342466,Mixed,292,161,131,False,False,True,0.11160311102867126,0.09199977666139603,0.13216546177864075,0.008083164691925049,0,72,220,0,0
48,15,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111:1:2,2,1,2,0.84375,Type-B,32,10,22,False,False,True,0.07360178232192993,0.03080112300813198,0.08536943048238754,0.023985326290130615,0,5,27,0,0
49,15,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111:2:1,1,2,2,1.0,Type-A,2,0,2,True,False,False,0.016604125499725342,,0.016604125499725342,,0,0,2,0,0
50,15,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111:2:2,2,2,2,0.9260089686098655,Type-A,446,304,142,False,False,True,0.04854621738195419,0.029212186112999916,0.0706338882446289,0.02855437994003296,0,33,413,0,0
51,15,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+111:2:3,3,2,2,1.0,Type-A,12,3,9,False,False,True,0.05688391625881195,0.022040823474526405,0.05613888055086136,0.04903972148895264,0,0,12,0,0
52,16,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112:1:1,1,1,2,0.6570048309178744,Mixed,207,97,110,False,False,True,0.061549849808216095,0.030373116955161095,0.08188899606466293,0.014467239379882812,0,71,136,0,0
53,16,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112:1:2,2,1,2,1.0,Type-B,2,0,2,True,False,False,0.007956862449645996,,0.007956862449645996,,0,0,2,0,0
54,16,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+112:2:1,1,2,2,0.9773913043478261,Type-A,575,397,178,False,False,True,0.039928924292325974,0.024084312841296196,0.061501696705818176,0.020988106727600098,0,13,562,0,0
55,17,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+113:2:1,1,2,2,0.9579081632653061,Type-A,784,588,196,False,False,True,0.06149498373270035,0.03851255029439926,0.09828145802021027,0.04384368658065796,0,33,751,0,0
56,18,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+114:2:1,1,2,2,0.9897959183673469,Type-A,784,588,196,False,False,True,0.055237628519535065,0.0310207549482584,0.08925338834524155,0.0536273717880249,0,8,776,0,0
57,19,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+115,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+115:2:1,1,2,2,1.0,Type-A,784,588,196,False,False,True,0.045742593705654144,0.027928264811635017,0.07661429792642593,0.03328990936279297,0,0,784,0,0
58,20,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+116:2:1,1,2,2,1.0,Type-A,784,588,196,False,False,True,0.04723699390888214,0.027528630569577217,0.08314072340726852,0.031113028526306152,0,0,784,0,0
59,21,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117:1:1,1,1,2,1.0,Type-B,3,0,3,True,False,False,0.03658771514892578,,0.03658771514892578,,0,0,3,0,0
60,21,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117:1:2,2,1,2,0.6428571428571429,Mixed,336,155,181,False,False,True,0.07858482748270035,0.0527036115527153,0.0974484458565712,0.007224559783935547,0,120,216,0,0
61,21,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117:1:3,3,1,1,0.7142857142857143,Mixed,7,0,7,True,False,False,0.01138259656727314,,0.01138259656727314,,0,5,2,0,0
62,21,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117:1:4,4,1,2,0.9090909090909091,Type-B,11,2,9,False,False,True,0.0347357876598835,0.00979548692703247,0.03537464886903763,0.026807427406311035,0,1,10,0,0
63,21,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117:2:1,1,2,2,0.6875,Mixed,16,2,14,False,False,True,0.08313201367855072,0.018405944108963013,0.0825619325041771,0.07659709453582764,0,5,11,0,0
64,21,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117:2:2,2,2,2,0.8004926108374384,Type-A,406,208,198,False,False,True,0.045572370290756226,0.0269789956510067,0.05813984572887421,0.014477133750915527,0,81,325,0,0
65,21,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117:2:3,3,2,2,1.0,Type-A,5,0,5,True,False,False,0.05086684226989746,,0.05086684226989746,,0,0,5,0,0
66,22,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118:1:1,1,1,1,0.7867435158501441,Mixed,694,500,194,False,False,True,0.10117236524820328,0.08159465342760086,0.13928954303264618,0.020541131496429443,0,546,148,0,0
67,22,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118:1:2,2,1,2,1.0,Type-B,4,1,3,False,False,True,0.03882068395614624,0.0,0.03545711562037468,0.0668371319770813,0,0,4,0,0
68,22,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118:2:1,1,2,2,1.0,Type-A,47,21,26,False,False,True,0.06851896643638611,0.04172207787632942,0.07215766608715057,0.046231985092163086,0,0,47,0,0
69,22,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118:2:2,2,2,2,0.9473684210526315,Type-A,38,13,25,False,False,True,0.08590676635503769,0.06489662081003189,0.08738622069358826,0.03091907501220703,0,2,36,0,0
70,23,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119:1:1,1,1,2,0.5074404761904762,Mixed,672,461,211,False,False,True,0.1150936409831047,0.08990528434515,0.15971063077449799,0.0182034969329834,0,331,341,0,0
71,23,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119:1:2,2,1,2,1.0,Type-B,3,0,3,True,False,False,0.031125187873840332,,0.031125187873840332,,0,0,3,0,0
72,23,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119:2:1,1,2,2,1.0,Type-A,62,28,34,False,False,True,0.059902142733335495,0.03791124001145363,0.055541131645441055,0.0484122633934021,0,0,62,0,0
73,23,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119:2:3,3,2,2,1.0,Type-A,28,12,16,False,False,True,0.052396129816770554,0.037888746708631516,0.051842350512742996,0.0262300968170166,0,0,28,0,0
74,23,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119:2:4,4,2,2,1.0,Type-A,18,4,14,False,False,True,0.0660262256860733,0.03010907769203186,0.06814603507518768,0.035475969314575195,0,0,18,0,0
75,24,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+12,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+12:1:1,1,1,2,0.5172413793103449,Mixed,87,42,45,False,False,True,0.061476729810237885,0.04493545740842819,0.07057745009660721,0.01548910140991211,0,42,45,0,0
76,24,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+12,TCGA-EW-A1PB-DX1,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+12:1:2,2,1,1,0.920704845814978,Type-A,227,133,94,False,False,True,0.07665612548589706,0.05568964034318924,0.09597930312156677,0.01737189292907715,0,209,18,0,0
