image_index,image_id,slide_id,region_count
32,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+127,TCGA-EW-A1PB-DX1,4
33,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+128,TCGA-EW-A1PB-DX1,3
34,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+129,TCGA-EW-A1PB-DX1,2
35,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+13,TCGA-EW-A1PB-DX1,4
36,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+130,TCGA-EW-A1PB-DX1,2
37,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+131,TCGA-EW-A1PB-DX1,5
38,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+132,TCGA-EW-A1PB-DX1,12
39,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+133,TCGA-EW-A1PB-DX1,3
40,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+134,TCGA-EW-A1PB-DX1,1
41,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+135,TCGA-EW-A1PB-DX1,2
42,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+136,TCGA-EW-A1PB-DX1,1
43,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+137,TCGA-EW-A1PB-DX1,1
44,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+138,TCGA-EW-A1PB-DX1,6
45,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+139,TCGA-EW-A1PB-DX1,2
46,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+14,TCGA-EW-A1PB-DX1,3
47,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+140,TCGA-EW-A1PB-DX1,3
48,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+141,TCGA-EW-A1PB-DX1,6
49,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+142,TCGA-EW-A1PB-DX1,1
50,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+143,TCGA-EW-A1PB-DX1,11
51,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+144,TCGA-EW-A1PB-DX1,1
52,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+145,TCGA-EW-A1PB-DX1,2
53,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+146,TCGA-EW-A1PB-DX1,1
54,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+147,TCGA-EW-A1PB-DX1,2
55,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+148,TCGA-EW-A1PB-DX1,4
56,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+149,TCGA-EW-A1PB-DX1,7
57,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+15,TCGA-EW-A1PB-DX1,1
58,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+150,TCGA-EW-A1PB-DX1,5
59,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+151,TCGA-EW-A1PB-DX1,5
60,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+152,TCGA-EW-A1PB-DX1,1
61,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+153,TCGA-EW-A1PB-DX1,1
62,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+154,TCGA-EW-A1PB-DX1,4
63,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+155,TCGA-EW-A1PB-DX1,2
64,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+156,TCGA-EW-A1PB-DX1,10
65,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+157,TCGA-EW-A1PB-DX1,8
66,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+158,TCGA-EW-A1PB-DX1,6
67,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+159,TCGA-EW-A1PB-DX1,4
68,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+16,TCGA-EW-A1PB-DX1,1
69,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+160,TCGA-EW-A1PB-DX1,4
70,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+161,TCGA-EW-A1PB-DX1,2
71,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+162,TCGA-EW-A1PB-DX1,4
72,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+163,TCGA-EW-A1PB-DX1,2
73,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+164,TCGA-EW-A1PB-DX1,3
74,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+165,TCGA-EW-A1PB-DX1,1
75,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+166,TCGA-EW-A1PB-DX1,1
76,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+167,TCGA-EW-A1PB-DX1,1
77,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+168,TCGA-EW-A1PB-DX1,1
78,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+169,TCGA-EW-A1PB-DX1,1
79,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+17,TCGA-EW-A1PB-DX1,1
80,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+170,TCGA-EW-A1PB-DX1,3
81,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+171,TCGA-EW-A1PB-DX1,1
82,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+172,TCGA-EW-A1PB-DX1,1
83,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+173,TCGA-EW-A1PB-DX1,1
84,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+174,TCGA-EW-A1PB-DX1,1
85,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+175,TCGA-EW-A1PB-DX1,1
86,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+176,TCGA-EW-A1PB-DX1,3
87,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+177,TCGA-EW-A1PB-DX1,5
88,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+178,TCGA-EW-A1PB-DX1,6
89,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+179,TCGA-EW-A1PB-DX1,3
90,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+18,TCGA-EW-A1PB-DX1,3
91,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+180,TCGA-EW-A1PB-DX1,5
92,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+181,TCGA-EW-A1PB-DX1,2
93,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+182,TCGA-EW-A1PB-DX1,1
94,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+183,TCGA-EW-A1PB-DX1,2
95,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+184,TCGA-EW-A1PB-DX1,3
96,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+19,TCGA-EW-A1PB-DX1,1
97,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+2,TCGA-EW-A1PB-DX1,3
98,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+20,TCGA-EW-A1PB-DX1,1
99,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+21,TCGA-EW-A1PB-DX1,1
100,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+22,TCGA-EW-A1PB-DX1,1
101,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+23,TCGA-EW-A1PB-DX1,3
102,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+24,TCGA-EW-A1PB-DX1,3
103,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+25,TCGA-EW-A1PB-DX1,5
104,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+26,TCGA-EW-A1PB-DX1,4
105,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+27,TCGA-EW-A1PB-DX1,5
106,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+28,TCGA-EW-A1PB-DX1,4
107,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+29,TCGA-EW-A1PB-DX1,1
108,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+3,TCGA-EW-A1PB-DX1,1
109,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+30,TCGA-EW-A1PB-DX1,1
110,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+31,TCGA-EW-A1PB-DX1,1
111,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+32,TCGA-EW-A1PB-DX1,7
112,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+33,TCGA-EW-A1PB-DX1,1
113,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+34,TCGA-EW-A1PB-DX1,1
114,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+35,TCGA-EW-A1PB-DX1,1
115,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+36,TCGA-EW-A1PB-DX1,6
116,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+37,TCGA-EW-A1PB-DX1,1
117,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+38,TCGA-EW-A1PB-DX1,2
118,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+39,TCGA-EW-A1PB-DX1,1
119,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+4,TCGA-EW-A1PB-DX1,1
120,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+40,TCGA-EW-A1PB-DX1,1
121,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+41,TCGA-EW-A1PB-DX1,1
122,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+42,TCGA-EW-A1PB-DX1,2
123,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+43,TCGA-EW-A1PB-DX1,1
124,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+44,TCGA-EW-A1PB-DX1,3
125,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+45,TCGA-EW-A1PB-DX1,1
126,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+46,TCGA-EW-A1PB-DX1,1
127,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+47,TCGA-EW-A1PB-DX1,1
128,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+48,TCGA-EW-A1PB-DX1,1
129,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+49,TCGA-EW-A1PB-DX1,1
130,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+5,TCGA-EW-A1PB-DX1,1
131,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+50,TCGA-EW-A1PB-DX1,1
132,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+51,TCGA-EW-A1PB-DX1,3
133,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+52,TCGA-EW-A1PB-DX1,5
134,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+53,TCGA-EW-A1PB-DX1,4
135,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+54,TCGA-EW-A1PB-DX1,1
136,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+55,TCGA-EW-A1PB-DX1,1
137,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+56,TCGA-EW-A1PB-DX1,1
138,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+57,TCGA-EW-A1PB-DX1,4
139,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+58,TCGA-EW-A1PB-DX1,4
140,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+59,TCGA-EW-A1PB-DX1,4
141,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+6,TCGA-EW-A1PB-DX1,1
142,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+60,TCGA-EW-A1PB-DX1,6
143,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+61,TCGA-EW-A1PB-DX1,6
144,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+62,TCGA-EW-A1PB-DX1,1
145,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+63,TCGA-EW-A1PB-DX1,1
146,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+64,TCGA-EW-A1PB-DX1,1
147,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+65,TCGA-EW-A1PB-DX1,1
148,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+66,TCGA-EW-A1PB-DX1,5
149,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+67,TCGA-EW-A1PB-DX1,7
150,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+68,TCGA-EW-A1PB-DX1,1
151,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+69,TCGA-EW-A1PB-DX1,1
152,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+7,TCGA-EW-A1PB-DX1,1
153,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+70,TCGA-EW-A1PB-DX1,1
154,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+71,TCGA-EW-A1PB-DX1,1
155,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+72,TCGA-EW-A1PB-DX1,3
156,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+73,TCGA-EW-A1PB-DX1,2
157,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+74,TCGA-EW-A1PB-DX1,4
158,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+75,TCGA-EW-A1PB-DX1,6
159,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+76,TCGA-EW-A1PB-DX1,1
160,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+77,TCGA-EW-A1PB-DX1,1
161,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+78,TCGA-EW-A1PB-DX1,1
162,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+79,TCGA-EW-A1PB-DX1,1
163,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+8,TCGA-EW-A1PB-DX1,4
164,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+80,TCGA-EW-A1PB-DX1,1
165,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+81,TCGA-EW-A1PB-DX1,2
166,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+82,TCGA-EW-A1PB-DX1,1
167,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+83,TCGA-EW-A1PB-DX1,2
168,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+84,TCGA-EW-A1PB-DX1,1
169,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+85,TCGA-EW-A1PB-DX1,5
170,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+86,TCGA-EW-A1PB-DX1,1
171,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+87,TCGA-EW-A1PB-DX1,3
172,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+88,TCGA-EW-A1PB-DX1,6
173,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+89,TCGA-EW-A1PB-DX1,1
174,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+9,TCGA-EW-A1PB-DX1,2
175,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+90,TCGA-EW-A1PB-DX1,5
176,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+91,TCGA-EW-A1PB-DX1,4
177,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+92,TCGA-EW-A1PB-DX1,1
178,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+93,TCGA-EW-A1PB-DX1,1
179,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+94,TCGA-EW-A1PB-DX1,1
180,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+95,TCGA-EW-A1PB-DX1,1
181,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+96,TCGA-EW-A1PB-DX1,4
182,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+97,TCGA-EW-A1PB-DX1,2
183,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+98,TCGA-EW-A1PB-DX1,3
184,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+99,TCGA-EW-A1PB-DX1,4
185,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+0,TCGA-EW-A1PH-DX1,1
186,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+1,TCGA-EW-A1PH-DX1,1
187,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+10,TCGA-EW-A1PH-DX1,1
188,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+100,TCGA-EW-A1PH-DX1,5
189,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+101,TCGA-EW-A1PH-DX1,1
190,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+102,TCGA-EW-A1PH-DX1,1
191,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+103,TCGA-EW-A1PH-DX1,1
192,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+104,TCGA-EW-A1PH-DX1,1
193,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+105,TCGA-EW-A1PH-DX1,1
194,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+106,TCGA-EW-A1PH-DX1,1
195,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+107,TCGA-EW-A1PH-DX1,1
196,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+108,TCGA-EW-A1PH-DX1,3
197,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+109,TCGA-EW-A1PH-DX1,4
198,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+11,TCGA-EW-A1PH-DX1,1
199,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+110,TCGA-EW-A1PH-DX1,6
200,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+111,TCGA-EW-A1PH-DX1,4
201,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+112,TCGA-EW-A1PH-DX1,1
202,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+113,TCGA-EW-A1PH-DX1,1
203,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+114,TCGA-EW-A1PH-DX1,4
204,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+115,TCGA-EW-A1PH-DX1,6
205,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+116,TCGA-EW-A1PH-DX1,1
206,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+117,TCGA-EW-A1PH-DX1,1
207,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+118,TCGA-EW-A1PH-DX1,1
208,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+119,TCGA-EW-A1PH-DX1,5
209,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+12,TCGA-EW-A1PH-DX1,1
210,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+120,TCGA-EW-A1PH-DX1,1
211,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+121,TCGA-EW-A1PH-DX1,1
212,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+122,TCGA-EW-A1PH-DX1,1
213,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+123,TCGA-EW-A1PH-DX1,3
214,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+124,TCGA-EW-A1PH-DX1,3
215,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+125,TCGA-EW-A1PH-DX1,1
216,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+126,TCGA-EW-A1PH-DX1,1
217,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+127,TCGA-EW-A1PH-DX1,4
218,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+128,TCGA-EW-A1PH-DX1,4
219,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+129,TCGA-EW-A1PH-DX1,6
220,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+13,TCGA-EW-A1PH-DX1,1
221,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+130,TCGA-EW-A1PH-DX1,3
222,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+131,TCGA-EW-A1PH-DX1,1
223,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+132,TCGA-EW-A1PH-DX1,7
224,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+133,TCGA-EW-A1PH-DX1,3
225,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+134,TCGA-EW-A1PH-DX1,7
226,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+135,TCGA-EW-A1PH-DX1,1
227,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+136,TCGA-EW-A1PH-DX1,5
