image_index,image_id,presence_c0,presence_c1,presence_c2,presence_c3
21,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+117,0,1,1,0
22,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+118,0,1,1,0
23,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+119,0,1,1,0
24,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+12,0,1,1,0
25,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+120,0,1,0,0
26,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+121,1,1,0,0
27,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+122,1,0,0,0
28,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+123,1,1,0,0
29,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+124,1,1,0,0
30,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+125,1,0,0,0
31,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+126,0,1,1,0
32,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+127,0,0,1,0
33,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+128,0,0,1,0
34,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+129,0,0,1,0
35,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+13,0,1,1,0
36,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+130,0,0,1,0
37,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+131,0,1,1,0
38,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+132,0,1,1,0
39,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+133,0,1,1,0
40,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+134,0,1,0,0
41,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+135,0,1,0,0
42,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+136,0,1,0,0
43,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+137,0,1,0,0
44,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+138,0,1,0,0
45,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+139,0,1,0,0
46,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+14,0,1,1,0
47,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+140,1,1,0,0
48,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+141,1,1,1,0
49,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+142,1,0,0,0
50,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+143,1,1,1,0
51,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+144,0,0,1,0
52,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+145,0,0,1,0
53,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+146,0,0,1,0
54,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+147,0,0,1,0
55,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+148,0,1,1,0
56,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+149,0,1,1,0
57,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+15,0,1,0,0
58,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+150,0,1,1,0
59,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+151,0,1,1,0
60,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+152,0,1,0,0
61,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+153,0,1,0,0
62,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+154,1,1,0,0
63,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+155,1,1,0,0
64,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+156,0,1,1,0
65,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+157,1,1,1,0
66,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+158,0,1,1,0
67,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+159,0,1,1,0
68,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+16,0,1,0,0
69,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+160,0,1,1,0
70,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+161,0,1,1,0
71,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+162,1,1,0,0
72,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+163,1,1,0,0
73,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+164,0,1,1,0
74,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+165,0,1,0,0
75,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+166,0,1,0,0
76,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+167,0,1,0,0
77,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+168,0,1,0,0
78,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+169,0,1,0,0
79,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+17,0,1,0,0
80,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+170,1,1,0,0
81,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+171,0,1,0,0
82,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+172,0,1,0,0
83,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+173,0,1,0,0
84,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+174,0,1,0,0
85,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+175,0,1,0,0
86,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+176,1,1,0,0
87,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+177,1,1,0,0
88,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+178,1,1,0,0
89,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+179,1,1,0,0
90,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+18,1,1,0,0
91,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+180,1,1,0,0
92,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+181,0,1,0,0
93,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+182,0,1,0,0
94,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+183,0,1,0,0
95,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+184,0,1,0,0
96,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+19,1,0,0,0
97,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+2,0,1,1,0
98,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+20,1,0,0,0
99,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+21,1,0,0,0
100,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+22,1,0,0,0
101,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+23,0,1,1,0
102,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+24,0,1,1,0
103,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+25,0,1,1,0
104,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+26,0,1,1,0
105,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+27,0,1,1,0
106,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+28,0,1,1,0
107,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+29,0,1,0,0
108,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+3,0,1,0,0
109,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+30,0,1,0,0
110,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+31,0,1,0,0
111,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+32,1,1,0,0
112,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+33,1,0,0,0
113,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+34,1,0,0,0
114,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+35,1,0,0,0
115,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+36,1,1,0,0
116,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+37,0,1,0,0
117,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+38,0,1,1,0
118,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+39,0,0,1,0
119,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+4,0,1,0,0
120,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+40,0,0,1,0
121,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+41,0,0,1,0
122,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+42,0,1,1,0
123,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+43,0,1,0,0
124,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+44,0,1,0,0
125,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+45,0,1,0,0
126,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+46,1,0,0,0
127,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+47,1,0,0,0
128,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+48,1,0,0,0
129,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+49,1,0,0,0
130,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+5,0,1,0,0
131,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+50,1,0,0,0
132,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+51,0,1,0,0
133,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+52,0,1,1,0
134,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+53,0,1,1,0
135,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+54,0,0,1,0
136,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+55,0,0,1,0
137,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+56,0,0,1,0
138,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+57,0,1,1,0
139,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+58,0,1,1,0
140,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+59,0,1,1,0
141,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+6,0,1,0,0
142,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+60,1,1,0,0
143,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+61,1,1,0,0
144,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+62,1,0,0,0
145,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+63,1,0,0,0
146,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+64,1,0,0,0
147,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+65,1,0,0,0
148,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+66,0,1,1,0
149,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+67,0,1,1,0
150,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+68,0,0,1,0
151,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+69,0,0,1,0
152,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+7,0,1,0,0
153,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+70,0,0,1,0
154,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+71,0,0,1,0
155,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+72,0,1,1,0
156,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+73,0,1,0,0
157,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+74,0,1,1,0
158,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+75,1,1,0,0
159,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+76,1,0,0,0
160,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+77,1,0,0,0
161,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+78,1,0,0,0
162,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+79,1,0,0,0
163,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+8,0,1,0,0
164,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+80,1,0,0,0
165,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+81,0,1,1,0
166,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+82,0,0,1,0
167,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+83,0,0,1,0
168,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+84,0,0,1,0
169,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+85,0,1,1,0
170,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+86,0,0,1,0
171,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+87,0,1,1,0
172,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+88,0,1,1,0
173,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+89,0,1,0,0
174,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+9,0,1,1,0
175,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+90,0,1,0,0
176,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+91,1,1,0,0
177,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+92,1,0,0,0
178,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+93,1,0,0,0
179,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+94,1,0,0,0
180,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+95,1,0,0,0
181,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+96,0,1,1,0
182,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+97,0,0,1,0
183,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+98,0,1,1,0
184,TCGA-EW-A1PB-DX1_xmin57214_ymin25940_MPP-0.2500+99,0,1,1,0
185,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+0,0,1,0,0
186,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+1,0,1,0,0
187,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+10,0,1,0,0
188,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+100,1,1,0,0
189,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+101,0,1,0,0
190,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+102,1,0,0,0
191,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+103,1,0,0,0
192,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+104,1,0,0,0
193,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+105,1,0,0,0
194,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+106,1,0,0,0
195,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+107,1,0,0,0
196,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+108,1,1,0,0
197,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+109,1,1,0,0
198,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+11,0,1,0,0
199,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+110,1,1,0,0
200,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+111,1,1,0,0
201,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+112,1,0,0,0
202,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+113,1,0,0,0
203,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+114,1,1,0,0
204,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+115,1,1,0,0
205,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+116,1,0,0,0
206,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+117,1,0,0,0
207,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+118,1,0,0,0
208,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+119,1,1,0,0
209,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+12,0,1,0,0
210,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+120,1,0,0,0
211,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+121,1,0,0,0
212,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+122,1,0,0,0
213,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+123,1,1,0,0
214,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+124,1,1,0,0
215,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+125,1,0,0,0
216,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+126,1,0,0,0
217,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+127,1,1,0,0
218,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+128,1,1,0,0
219,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+129,1,1,0,0
220,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+13,0,1,0,0
221,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+130,1,1,0,0
222,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+131,1,0,0,0
223,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+132,1,1,0,0
224,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+133,0,0,0,1
225,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+134,0,1,0,1
226,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+135,1,0,0,0
227,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+136,1,1,0,0
228,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+137,1,0,0,0
229,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+138,1,1,0,0
230,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+139,1,1,0,0
231,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+14,0,1,0,0
232,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+140,1,1,0,0
233,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+141,1,1,0,0
234,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+142,1,1,0,0
235,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+143,1,1,0,0
236,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+144,1,1,0,0
237,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+145,0,0,0,1
238,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+146,0,1,0,1
239,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+147,1,0,0,1
240,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+148,1,0,0,0
241,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+149,1,0,0,0
242,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+15,0,1,1,0
243,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+150,1,0,0,0
244,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+151,1,1,0,0
245,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+152,1,1,0,0
246,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+153,1,1,0,0
247,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+154,1,1,0,0
248,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+155,1,1,0,0
249,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+156,1,1,0,0
250,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+157,1,1,0,0
251,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+158,1,1,0,1
252,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+159,1,1,0,1
253,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+16,0,1,0,0
254,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+160,1,1,0,0
255,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+161,1,0,0,0
256,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+162,1,1,0,0
257,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+163,1,1,0,0
258,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+164,1,0,0,0
259,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+165,1,1,0,0
260,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+166,1,1,0,0
261,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+167,1,1,0,0
262,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+168,1,1,0,0
263,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+169,1,1,0,0
264,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+17,0,1,0,0
265,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+170,1,1,0,0
266,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+171,1,1,0,1
267,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+172,1,0,0,1
268,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+173,1,0,0,0
269,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+174,1,1,0,0
270,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+175,1,1,0,0
271,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+176,1,1,0,0
272,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+177,0,1,0,0
273,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+178,1,1,0,0
274,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+179,1,1,0,0
275,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+18,0,1,0,0
276,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+180,1,1,0,0
277,TCGA-EW-A1PH-DX1_xmin3455_ymin52049_MPP-0.2500+181,1,1,0,0
